symbol,interval,total_return,sharpe_ratio,max_drawdown,win_rate,trades_executed,trading_volume,winning_trades,losing_trades,open_position,open_position_value,open_position_return,net_profit_loss,total_fees_paid,strategy
BTC/USD,1440,-0.013269445587116752,-0.9128675128564574,0.015643226858709093,0.3333333333333333,6,5841.050305490105,2,4,0.0,0.0,0.0,-132.69445587116752,38.988823720609545,brar
BTC/USD,1440,0.058393134734383054,1.0392015376599086,0.021220582144533984,0.6818181818181818,22,23257.322703825932,15,7,0.0,0.0,0.0,583.9313473438306,151.57135639901654,cci
BTC/USD,1440,0.0279244341098698,0.4646776308775129,0.033175251652479996,0.484375,64,65599.68346166288,31,33,0.015058731185379358,1009.6578085173152,-0.016460295642811228,279.244341098698,435.36827528945634,cfo
BTC/USD,1440,0.07107554468504258,0.9495716225620371,0.048881384049209026,0.3333333333333333,36,38423.05383029364,12,24,0.0,0.0,0.0,710.7554468504259,251.24666230533163,gc
ETH/USD,1440,0.06519499015378533,0.8542098523519518,0.04243743060910661,0.3333333333333333,21,22799.096052182453,7,14,0.0,0.0,0.0,651.9499015378533,148.32259926932926,ao
ETH/USD,1440,0.05754916904204383,0.8139270985995853,0.04308890096343307,0.375,32,33691.678082231694,12,20,0.0,0.0,0.0,575.4916904204383,220.46595276434172,apo
ETH/USD,1440,0.012394755395528773,0.16446803440091923,0.05430082133267714,0.19230769230769232,26,26416.210009262082,5,21,0.0,0.0,0.0,123.94755395528773,173.93795913307733,bias
ETH/USD,1440,-0.10365679474233402,-1.4806231485074166,0.11617965188447803,0.27692307692307694,195,185292.34922260517,54,141,0.0,0.0,0.0,-1036.5679474233402,1226.3501790956907,bos
ETH/USD,1440,0.02224381233638669,0.36950399856786026,0.04324248632856694,0.3333333333333333,3,3214.150212292321,1,2,0.41139015843480764,1020.543793832396,0.0014573434365045042,222.4381233638669,23.847140113675458,brar
ETH/USD,1440,0.004136073322012998,0.08090460505641267,0.05691301209688183,0.43478260869565216,23,23580.61700576933,10,13,0.0,0.0,0.0,41.36073322012999,155.49558181845117,cci
ETH/USD,1440,0.03474199319111758,0.5338005034504338,0.030905055725014115,0.5294117647058824,68,69939.143428483,36,32,0.0,0.0,0.0,347.4199319111758,460.45186085268074,cfo
ETH/USD,1440,0.021428838761098815,0.26957319113530337,0.062411266421364034,0.3333333333333333,36,36821.91302069486,12,24,0.0,0.0,0.0,214.28838761098814,242.31747425746985,gc
